"user_id","domain_id","predicted_rank"
3200,16,56
4188,1,5
4188,2,1
4188,3,55
4188,4,2
4188,5,5
4188,7,2
4188,11,5
4188,12,51
4188,15,20
4188,16,20
4188,19,6
4188,20,3
4188,22,20
4188,25,3
4188,28,5
4188,30,50
4188,31,5
4188,33,3
4188,34,5
4188,37,4
4188,39,3
4188,40,5
4188,41,5
4188,45,55
4188,51,78
4188,52,1
4188,53,3
4188,54,31
4188,56,9
4188,60,5
4188,71,2
4188,72,50
4188,73,1
4188,74,31
4188,75,3
4188,78,5
4188,81,50
4188,85,5
4188,86,5
4188,87,10
4188,90,5
4188,91,10
4188,94,5
4188,95,3
4188,96,3
4188,97,3
4188,98,12
4188,99,1
4188,101,6
4188,102,31
3680,4,20
3680,11,10
3680,12,35
3680,15,60
3680,20,10
3680,22,10
3680,28,10
3680,41,10
3680,51,20
3680,53,30
3680,60,10
3680,71,25
3680,72,14
3680,73,30
3680,75,15
3680,81,10
3680,86,10
3680,90,20
3680,96,25
3680,98,25
3680,99,40
3680,101,20
3680,102,60
3475,56,1
3135,1,50
3135,3,50
3135,4,100
3135,7,80
3135,20,100
3135,25,100
3135,30,50
3135,41,50
3135,52,100
3135,53,50
3135,54,50
3135,71,100
3135,73,100
3135,86,50
3135,90,100
3135,94,50
3135,96,80
3135,99,50
3135,102,50
4097,30,70
4097,37,50
4405,1,50
4405,2,50
4405,3,20
4405,4,40
4405,5,100
4405,7,40
4405,11,80
4405,16,100
4405,20,50
4405,25,80
4405,28,50
4405,30,50
4405,31,50
4405,33,100
4405,34,60
4405,39,50
4405,40,50
4405,41,100
4405,45,100
4405,52,50
4405,53,80
4405,54,20
4405,56,100
4405,60,100
4405,71,50
4405,72,100
4405,73,80
4405,74,50
4405,78,65
4405,81,75
4405,86,100
4405,87,80
4405,90,100
4405,91,100
4405,94,100
4405,95,100
4405,99,80
3265,20,77
3265,22,2
3265,39,10
3265,73,10
3265,86,10
4368,1,50
4368,2,50
4368,3,50
4368,4,80
4368,5,50
4368,7,50
4368,11,80
4368,12,50
4368,15,50
4368,16,95
4368,19,50
4368,20,50
4368,22,99
4368,25,7
4368,28,50
4368,30,50
4368,31,50
4368,33,50
4368,34,50
4368,37,50
4368,39,50
4368,40,85
4368,41,50
4368,45,50
4368,51,50
4368,52,50
4368,53,50
4368,54,50
4368,56,50
4368,60,50
4368,71,50
4368,72,99
4368,73,50
4368,74,95
4368,75,50
4368,78,50
4368,81,50
4368,85,50
4368,86,85
4368,87,50
4368,90,85
4368,91,50
4368,94,50
4368,95,50
4368,96,50
4368,97,90
4368,98,50
4368,99,50
4368,101,90
4368,102,75
3931,15,80
3931,81,55
3083,51,35
4037,20,35
4037,39,25
4037,96,50
3575,7,63
3551,12,75
4209,1,15
4209,2,5
4209,3,86
4209,4,78
4209,5,40
4209,7,30
4209,11,55
4209,12,88
4209,15,34
4209,16,60
4209,19,55
4209,20,75
4209,22,88
4209,25,50
4209,28,54
4209,30,35
4209,31,23
4209,33,56
4209,34,100
4209,37,65
4209,39,15
4209,40,45
4209,41,60
4209,45,56
4209,51,65
4209,52,50
4209,53,20
4209,54,15
4209,56,54
4209,60,100
4209,71,55
4209,72,88
4209,73,55
4209,74,45
4209,75,85
4209,78,80
4209,81,87
4209,85,25
4209,86,89
4209,87,15
4209,90,87
4209,91,50
4209,94,50
4209,95,94
4209,96,87
4209,97,65
4209,98,87
4209,99,45
4209,101,75
4209,102,25
4161,1,22
4161,2,45
4161,3,60
4161,4,78
4161,5,10
4161,7,35
4161,11,100
4161,12,90
4161,15,25
4161,16,70
4161,20,97
4161,22,100
4161,25,67
4161,28,34
4161,30,35
4161,31,30
4161,33,98
4161,37,100
4161,39,100
4161,41,45
4161,45,52
4161,51,34
4161,52,78
4161,53,78
4161,54,78
4161,56,99
4161,60,60
4161,71,80
4161,73,87
4161,74,40
4161,75,56
4161,78,89
4161,81,98
4161,86,60
4161,87,54
4161,90,100
4161,91,23
4161,94,23
4161,95,34
4161,96,45
4161,97,100
4161,98,23
4161,99,65
4161,101,54
4161,102,98
3943,1,85
3943,2,50
3943,11,90
3943,16,60
3943,22,80
3943,33,95
3943,34,95
3943,39,85
3943,41,98
3943,45,70
3943,51,100
3943,52,90
3943,53,65
3943,71,90
3943,73,70
3943,75,50
3943,85,98
3943,86,99
3943,102,78
3839,20,50
3681,20,20
3604,78,40
4287,51,100
4271,12,50
4449,1,100
4449,2,50
4449,3,100
4449,4,100
4449,5,100
4449,7,100
4449,11,50
4449,12,100
4449,15,100
4449,16,100
4449,19,100
4449,20,100
4449,22,100
4449,25,100
4449,28,100
4449,30,100
4449,33,50
4449,34,100
4449,39,50
4449,40,100
4449,41,100
4449,45,100
4449,51,100
4449,52,50
4449,53,100
4449,54,100
4449,56,50
4449,60,100
4449,71,100
4449,72,100
4449,73,100
4449,74,50
4449,75,100
4449,78,100
4449,81,50
4449,85,100
4449,86,100
4449,87,50
4449,91,50
4449,94,100
4449,95,100
4449,96,100
4449,97,100
4449,98,100
4449,99,100
4449,102,50
3634,1,10
3634,2,50
3634,3,25
3634,4,15
3634,5,50
3634,7,20
3634,11,50
3634,12,20
3634,15,1
3634,16,50
3634,19,50
3634,20,50
3634,22,20
3634,25,10
3634,28,10
3634,30,25
3634,31,1
3634,33,5
3634,34,10
3634,37,20
3634,39,30
3634,40,50
3634,41,50
3634,45,50
3634,51,50
3634,52,75
3634,53,50
3634,54,10
3634,56,50
3634,60,15
3634,71,20
3634,72,50
3634,73,25
3634,74,50
3634,75,50
3634,78,10
3634,81,50
3634,85,5
3634,86,50
3634,87,10
3634,90,50
3634,91,10
3634,94,10
3634,95,10
3634,96,50
3634,97,50
3634,98,50
3634,99,5
3634,101,2
3634,102,15
4348,1,80
4348,2,45
4348,3,30
4348,4,55
4348,5,40
4348,7,78
4348,11,70
4348,12,60
4348,15,80
4348,16,90
4348,19,65
4348,20,75
4348,22,40
4348,25,20
4348,28,90
4348,30,40
4348,31,70
4348,33,50
4348,34,80
4348,37,55
4348,39,55
4348,40,45
4348,41,55
4348,45,90
4348,51,55
4348,52,90
4348,53,55
4348,54,45
4348,56,90
4348,60,35
4348,71,75
4348,72,75
4348,73,55
4348,74,90
4348,75,80
4348,78,75
4348,81,77
4348,85,25
4348,86,79
4348,87,40
4348,90,80
4348,91,75
4348,94,30
4348,95,70
4348,96,50
4348,97,60
4348,98,59
4348,99,50
4348,101,45
4348,102,87
3299,1,50
3299,2,5
3299,3,50
3299,4,50
3299,5,50
3299,7,100
3299,11,100
3299,12,100
3299,15,75
3299,16,75
3299,19,75
3299,20,75
3299,22,100
3299,25,25
3299,28,100
3299,30,50
3299,31,100
3299,33,75
3299,34,75
3299,37,50
3299,39,50
3299,40,50
3299,41,100
3299,45,100
3299,51,100
3299,52,100
3299,53,100
3299,54,10
3299,56,100
3299,60,50
3299,71,50
3299,72,100
3299,73,25
3299,74,100
3299,75,75
3299,78,50
3299,81,100
3299,85,100
3299,86,100
3299,87,51
3299,90,100
3299,91,50
3299,94,100
3299,95,80
3299,96,50
3299,97,100
3299,98,50
3299,99,50
3299,101,50
3299,102,100
3389,1,25
3389,2,55
3389,3,34
3389,4,55
3389,5,33
3389,7,34
3389,11,88
3389,12,11
3389,15,77
3389,16,78
3389,19,78
3389,20,15
3389,22,56
3389,25,5
3389,28,23
3389,30,45
3389,31,3
3389,33,45
3389,34,89
3389,37,88
3389,39,33
3389,40,34
3389,41,22
3389,45,36
3389,51,22
3389,52,99
3389,53,77
3389,54,3
3389,56,25
3389,60,67
3389,71,76
3389,72,55
3389,73,35
3389,74,78
3389,75,45
3389,78,24
3389,81,55
3389,85,5
3389,86,80
3389,87,88
3389,90,65
3389,91,56
3389,94,55
3389,95,57
3389,96,77
3389,97,67
3389,98,22
3389,99,25
3389,101,55
3389,102,55
4467,1,50
4467,12,50
4467,19,50
4467,28,50
4467,30,50
4467,33,50
4467,39,50
4467,41,50
4467,51,100
4467,56,50
4467,60,100
4467,71,50
4467,75,50
4467,90,100
4467,94,50
4467,99,50
4467,102,50
4076,1,70
4076,2,70
4076,3,60
4076,4,70
4076,5,70
4076,7,70
4076,11,70
4076,12,70
4076,15,70
4076,16,70
4076,19,70
4076,20,60
4076,22,70
4076,25,70
4076,28,70
4076,30,50
4076,31,70
4076,33,70
4076,34,70
4076,37,70
4076,39,70
4076,40,70
4076,41,70
4076,45,70
4076,51,70
4076,52,70
4076,53,70
4076,54,70
4076,56,70
4076,60,70
4076,71,70
4076,72,70
4076,73,70
4076,74,70
4076,75,70
4076,78,70
4076,81,70
4076,85,70
4076,86,70
4076,87,70
4076,90,70
4076,91,70
4076,94,70
4076,95,70
4076,96,70
4076,97,70
4076,98,60
4076,99,70
4076,101,70
4076,102,70
2986,71,1
4316,2,25
4316,11,50
3101,1,50
3101,2,2
3101,3,50
3101,4,100
3101,5,50
3101,7,100
3101,11,50
3101,12,100
3101,15,40
3101,16,100
3101,19,50
3101,20,3
3101,22,50
3101,25,50
3101,28,50
3101,30,50
3101,31,2
3101,33,50
3101,34,100
3101,37,50
3101,39,100
3101,40,50
3101,41,100
3101,45,100
3101,51,100
3101,52,75
3101,53,100
3101,54,1
3101,56,50
3101,60,100
3101,71,50
3101,72,50
3101,73,1
3101,74,75
3101,75,50
3101,78,50
3101,81,50
3101,85,60
3101,86,100
3101,87,100
3101,90,100
3101,91,50
3101,94,100
3101,95,80
3101,96,50
3101,97,100
3101,98,50
3101,99,50
3101,101,100
3101,102,75
4063,2,50
4063,4,80
4063,5,70
4063,11,70
4063,12,99
4063,15,80
4063,19,70
4063,20,80
4063,22,90
4063,25,55
4063,30,100
4063,31,75
4063,33,80
4063,34,90
4063,37,70
4063,39,60
4063,41,90
4063,45,70
4063,51,100
4063,52,90
4063,53,50
4063,56,50
4063,60,70
4063,71,100
4063,72,100
4063,73,30
4063,74,80
4063,75,70
4063,78,60
4063,81,75
4063,85,95
4063,86,80
4063,87,50
4063,90,90
4063,91,80
4063,94,80
4063,95,90
4063,96,75
4063,97,50
4063,98,60
4063,99,90
4063,101,50
4063,102,80
4028,51,50
4138,102,50
2892,40,50
4011,20,10
3096,73,40
4025,91,40
3152,1,20
3152,2,15
3152,3,10
3152,4,20
3152,5,10
3152,7,10
3152,11,20
3152,12,20
3152,15,20
3152,16,10
3152,19,10
3152,20,15
3152,22,20
3152,25,40
3152,28,10
3152,30,10
3152,31,20
3152,33,10
3152,34,20
3152,37,20
3152,39,10
3152,40,10
3152,41,10
3152,45,10
3152,51,10
3152,52,20
3152,53,20
3152,54,10
3152,56,20
3152,60,10
3152,71,20
3152,72,10
3152,73,20
3152,74,20
3152,75,20
3152,78,40
3152,81,20
3152,85,20
3152,86,15
3152,87,10
3152,90,20
3152,91,20
3152,94,20
3152,95,20
3152,96,15
3152,97,10
3152,98,10
3152,99,10
3152,101,15
3152,102,10
3151,1,40
3151,2,80
3151,3,50
3151,4,60
3151,5,80
3151,7,30
3151,11,80
3151,12,50
3151,15,60
3151,16,70
3151,19,80
3151,20,60
3151,25,50
3151,28,30
3151,30,70
3151,31,20
3151,33,50
3151,34,80
3151,37,40
3151,39,60
3151,40,50
3151,41,50
3151,45,90
3151,51,60
3151,52,79
3151,53,40
3151,54,30
3151,56,60
3151,60,70
3151,71,80
3151,72,70
3151,73,30
3151,74,50
3151,75,40
3151,78,30
3151,81,99
3151,85,99
3151,86,98
3151,87,40
3151,90,50
3151,91,40
