"user_id","age","gender","education","industry","experimental_condition"
2825,20,"M","College graduate","Computer Sciences","Control"
2826,27,"M","College graduate","Business","Consensus"
2827,23,"F","College graduate","Physical Sciences","Most recent"
2828,22,"M","College graduate","Legal","Most confident"
2829,28,"F","Some college","Education","Control"
2830,27,"M","Some college","Business","Consensus"
2831,25,"M","High school graduate","Transportation and Distribution","Most recent"
2832,25,"F","College graduate","Communications and Journalism","Most confident"
2833,56,"F","College graduate","Visual and Performing Arts","Control"
2835,20,"F","Some college","Other","Most recent"
2836,35,"M","Some college","Culinary Arts and Personal Services","Most confident"
2837,27,"M","High school graduate","Other","Control"
2838,41,"M","Vocational training","Mechanic and Repair Technologies","Consensus"
2839,30,"M","Some college","Engineering","Most recent"
2840,31,"M","Post-graduate degree","Education","Most confident"
2841,43,"M","College graduate","Business","Control"
2842,34,"M","Some college","Culinary Arts and Personal Services","Consensus"
2843,45,"M","College graduate","Visual and Performing Arts","Most recent"
2844,54,"F","Post-graduate degree","Biological and Biomedical Sciences","Most confident"
2845,33,"F","College graduate","Education","Control"
2846,43,"F","Some college","Other","Consensus"
2847,43,"F","Some high school","Other","Most recent"
2848,22,"M","Some college","Engineering","Most confident"
2850,57,"F","Some college","Other","Consensus"
2851,35,"F","Some college","Other","Most recent"
2853,65,"F","Post-graduate degree","Other","Control"
2854,34,"F","Some college","Business","Consensus"
2855,27,"F","College graduate","Business","Most recent"
2856,36,"M","Some college","Computer Sciences","Most confident"
2857,22,"M","College graduate","Business","Control"
2858,32,"M","Some college","Business","Consensus"
2859,40,"M","Some college","Computer Sciences","Most recent"
2860,31,"F","College graduate","Business","Most confident"
2861,26,"M","High school graduate","Other","Control"
2862,35,"M","Post-graduate degree","Medical and Health Professions","Consensus"
2863,50,"M","Post-graduate degree","Engineering","Most recent"
2864,21,"M","Some college","Business","Most confident"
2866,32,"M","Some college","Transportation and Distribution","Consensus"
2867,51,"F","College graduate","Transportation and Distribution","Most recent"
2869,52,"M","College graduate","Computer Sciences","Control"
2871,35,"M","Some college","Visual and Performing Arts","Most recent"
2872,26,"F","College graduate","Culinary Arts and Personal Services","Most confident"
2873,45,"M","Some college","Liberal Arts and Humanities","Control"
2874,26,"M","High school graduate","Other","Consensus"
2875,31,"F","Vocational training","Medical and Health Professions","Most recent"
2876,25,"F","Some college","Medical and Health Professions","Most confident"
2877,30,"M","College graduate","Other","Control"
2878,40,"F","Some college","Other","Consensus"
2879,42,"F","College graduate","Biological and Biomedical Sciences","Most recent"
2880,20,"F","Some college","Liberal Arts and Humanities","Most confident"
2881,35,"M","College graduate","Liberal Arts and Humanities","Control"
2882,48,"F","Some college","Other","Consensus"
2883,23,"F","College graduate","Physical Sciences","Most recent"
2884,27,"M","Some college","Other","Most confident"
2885,36,"M","College graduate","Computer Sciences","Control"
2887,34,"M","College graduate","Computer Sciences","Most recent"
2888,28,"M","High school graduate","Other","Most confident"
2889,28,"M","College graduate","Other","Control"
2890,44,"F","College graduate","Computer Sciences","Consensus"
2891,24,"M","College graduate","Engineering","Most recent"
2892,62,"F","Some college","Other","Most confident"
2893,41,"M","High school graduate","Computer Sciences","Control"
2894,53,"F","Vocational training","Other","Consensus"
2895,58,"F","College graduate","Business","Most recent"
2896,43,"F","College graduate","Communications and Journalism","Most confident"
2897,29,"M","College graduate","Medical and Health Professions","Control"
2898,24,"M","Some college","Computer Sciences","Consensus"
2899,37,"F","Some college","Medical and Health Professions","Most recent"
2900,26,"M","Some college","Computer Sciences","Most confident"
2901,36,"F","College graduate","Physical Sciences","Control"
2902,25,"M","College graduate","Other","Consensus"
2903,22,"M","Some college","Computer Sciences","Most recent"
2904,26,"F","Some college","Culinary Arts and Personal Services","Most confident"
2905,43,"M","Post-graduate degree","Education","Control"
2906,40,"M","College graduate","Computer Sciences","Consensus"
2907,37,"M","Some college","Architecture","Most recent"
2908,30,"M","College graduate","Communications and Journalism","Most confident"
2909,61,"M","Some college","Computer Sciences","Control"
2910,30,"M","Post-graduate degree","Education","Consensus"
2911,32,"M","College graduate","Other","Most recent"
2912,39,"F","College graduate","Medical and Health Professions","Most confident"
2913,33,"F","Some college","Other","Control"
2914,52,"M","High school graduate","Computer Sciences","Consensus"
2915,44,"F","Post-graduate degree","Psychology","Most recent"
2916,35,"M","Some college","Other","Most confident"
2917,36,"M","Some postgraduate work","Visual and Performing Arts","Control"
2918,27,"M","College graduate","Other","Consensus"
2919,45,"F","Some college","Business","Most recent"
2920,28,"F","Vocational training","Other","Most confident"
2921,22,"M","College graduate","Biological and Biomedical Sciences","Control"
2922,39,"M","High school graduate","Other","Consensus"
2923,34,"M","College graduate","Computer Sciences","Most recent"
2924,45,"F","Some college","Business","Most confident"
2925,35,"M","High school graduate","Visual and Performing Arts","Control"
2926,68,"F","College graduate","Liberal Arts and Humanities","Consensus"
2927,30,"F","Some college","Education","Most recent"
2928,49,"F","Post-graduate degree","Other","Most confident"
2929,57,"M","College graduate","Engineering","Control"
2930,43,"F","Some college","Legal","Consensus"
2931,63,"M","Post-graduate degree","Computer Sciences","Most recent"
2932,37,"M","Post-graduate degree","Education","Most confident"
2933,40,"M","High school graduate","Business","Control"
