task_id,domain,L,U,length,final_median,inside
10003,amazon_price,4.0,6.0,0.23728813559322037,5.0,True
10005,amazon_price,70.0,100.0,0.08547008547008547,99.0,True
10009,amazon_price,889.0,1800.0,0.8487394957983193,1200.0,True
10002,amazon_price,7.0,10.0,0.0,9.0,True
10006,amazon_price,410.0,649.940625,0.23508077570577568,700.0,False
10007,amazon_price,349.0,500.0,0.2542372881355932,600.0,False
10004,amazon_price,300.0,499.0,0.0847457627118644,350.0,True
10008,amazon_price,100.0,175.0,0.0423728813559322,199.0,False
10000,amazon_price,50.0,90.0,0.0,119.0,False
10001,amazon_price,89.11875,149.0,0.4323779802069276,145.0,True
10014,amazon_price,151.1875,288.2187499999999,0.006542373213133945,250.0,True
10015,amazon_price,25.0,40.590624999999974,0.49791571519912314,40.0,True
10019,amazon_price,10.0,15.0,0.4661016949152542,10.0,True
10017,amazon_price,65.0,100.0,0.4117647058823529,90.0,True
10010,amazon_price,16.356250000000003,25.0,0.44067796610169496,18.0,True
10012,amazon_price,79.0,200.0,0.8739495798319328,150.0,True
10011,amazon_price,6.0,10.0,0.10344827586206898,7.0,True
10018,amazon_price,6.0,10.0,0.4358974358974359,8.0,True
10016,amazon_price,10.0,20.0,0.22033898305084748,15.0,True
10013,amazon_price,500.0,800.0,0.07692307692307693,799.0,True
