task_id,domain,L,U,length,final_median,inside
10065,book_release_year,1719.0,1973.8125,0.6947725535168195,1830.0,True
10067,book_release_year,1965.0,2008.7625,0.881193181818182,1994.0,True
10064,book_release_year,1900.0,2007.0,1.0,1974.0,True
10060,book_release_year,1493.0,1970.0,0.9724770642201835,1797.0,True
10061,book_release_year,1487.0,1980.0,0.33333333333333326,1755.0,True
10062,book_release_year,1600.0,1990.0,0.8165137614678899,1758.0,True
10063,book_release_year,1650.60625,1988.0,0.9514463699753897,1712.0,True
10066,book_release_year,1710.0,1960.0,0.11818181818181817,1850.0,True
10069,book_release_year,1894.784375,2009.0,0.8454545454545455,1984.0,True
10068,book_release_year,1900.0,1968.13125,0.6964185478029936,1951.0,True
10073,book_release_year,1857.0,1957.05,0.9812951962809917,1874.0,True
10071,book_release_year,1850.0,1996.05,0.46755203479341406,1975.0,True
10074,book_release_year,1850.0,1989.0,0.9722222222222222,1880.0,True
10077,book_release_year,1911.425,1990.0,0.8575848765432099,1959.0,True
10070,book_release_year,1775.34375,1980.0,0.8598130841121495,1880.0,True
10076,book_release_year,1863.0875,1997.2625,0.3713267259056733,1935.0,True
10078,book_release_year,1950.0,2010.0,0.8545454545454545,1990.0,True
10072,book_release_year,1790.0,1992.0984375,0.8853559382086167,1840.0,True
10075,book_release_year,1910.275,1997.0,0.23636363636363636,1961.0,True
10079,book_release_year,1928.0,1984.525,0.8815366972477066,1950.0,True
