task_id,domain,L,U,length,final_median,inside
1910,calories,20.0,35.0,0.07894736842105265,30.0,True
1902,calories,100.0,200.0,0.8125,180.0,True
1901,calories,100.0,150.0,0.19469026548672574,110.0,True
1904,calories,160.0,200.0,0.03539823008849552,200.0,True
1909,calories,150.0,200.0,0.02631578947368418,180.0,True
1908,calories,150.0,240.60546874999986,0.025334318693693625,250.0,False
1906,calories,300.0,400.0,0.0,400.0,True
1903,calories,110.0,150.0,0.0,120.0,True
1905,calories,35.0,100.0,0.6403508771929824,90.0,True
1907,calories,50.0,80.0,0.5526315789473684,70.0,True
1914,calories,120.0,182.5429687499999,0.003074875553097378,160.0,True
1911,calories,100.0,200.0,0.5625,170.0,True
1916,calories,300.0,450.0,0.09734513274336287,450.0,True
1917,calories,69.11875,90.0,0.568046875,80.0,True
1918,calories,139.34375,250.0,0.00447317477876108,330.0,False
1912,calories,100.0,150.0,0.0,150.0,True
1915,calories,200.0,300.0,0.0,250.0,True
1913,calories,575.0,900.0,0.39823008849557523,1270.0,False
1920,calories,180.0,240.0,0.0,190.0,True
1919,calories,13.093750000000002,50.65624999999997,0.5669719338552303,50.0,True
