task_id,domain,L,U,length,final_median,inside
10142,celeb_age,28.0,40.0,0.9150943396226415,30.0,True
10147,celeb_age,26.0,34.0,0.12264150943396235,28.0,True
10149,celeb_age,29.0,34.0,0.6509433962264151,32.0,True
10148,celeb_age,35.0,40.0,0.19811320754716977,39.0,True
10143,celeb_age,45.0,52.131249999999994,0.1106909305317324,50.0,True
10144,celeb_age,50.0,58.0,0.05660377358490565,55.0,True
10146,celeb_age,40.0,47.0,0.3644859813084112,44.0,True
10145,celeb_age,47.0,53.0,0.6886792452830189,52.0,True
10141,celeb_age,28.0,34.52499999999998,0.9813084112149533,33.0,True
10140,celeb_age,35.0,39.0,0.2547169811320755,36.0,True
10156,celeb_age,48.0,55.0,0.8598130841121495,52.0,True
10153,celeb_age,24.0,27.0,0.2429906542056075,25.0,True
10154,celeb_age,58.0,63.0,0.009433962264150941,62.0,True
10151,celeb_age,30.0,34.5,0.19158878504672905,32.0,True
10159,celeb_age,25.0,28.0,0.17924528301886794,27.0,True
10150,celeb_age,36.0,41.0,0.8037383177570093,40.0,True
10158,celeb_age,61.0,70.0,0.339622641509434,70.0,True
10157,celeb_age,35.0,45.0,0.08411214953271029,42.0,True
10155,celeb_age,28.0,33.0,0.2990654205607477,32.0,True
10152,celeb_age,55.0,60.0,0.35238095238095235,58.0,True
