task_id,domain,L,U,length,final_median,inside
10200,construction_years,1450.0,1888.0,0.717741935483871,1612.0,True
10206,construction_years,1601.0,1914.65625,0.5986421510125974,1567.0,False
10209,construction_years,1001.0,1815.0,0.4308943089430894,1400.0,True
10201,construction_years,1911.0,1952.0,1.0,1935.0,True
10202,construction_years,1500.0,1900.0,0.6747967479674797,1602.0,True
10207,construction_years,1920.0,1962.0,1.0,1933.0,True
10208,construction_years,1936.0,1987.0,0.4083333333333333,1970.0,True
10204,construction_years,1314.25,1779.0,0.9672131147540983,1303.0,False
10205,construction_years,1770.0,1900.0,0.6774193548387096,1880.0,True
10203,construction_years,1955.0,2009.0,0.7264957264957265,1990.0,True
10215,construction_years,1650.0,1913.05,0.6851873449131514,1700.0,True
10213,construction_years,1944.10625,2000.0,0.5090620953025665,1980.0,True
10214,construction_years,1963.0,2002.0,0.5655737704918032,1980.0,True
10217,construction_years,1956.85,2002.525,0.6005362021857923,1982.0,True
10219,construction_years,1924.0,1985.0,0.4918032786885246,1970.0,True
10216,construction_years,1807.0,1940.13125,0.7471859714960365,1900.0,True
10210,construction_years,1970.0,2003.0,0.6693548387096775,1975.0,True
10218,construction_years,1943.475,1980.39609375,0.9205365560738424,1952.0,True
10211,construction_years,1789.0,1884.725,0.9183048387096774,1800.0,True
10212,construction_years,1901.475,1965.0,0.8111875487900078,1930.0,True
