task_id,domain,L,U,length,final_median,inside
10307,country_size_ratio,8.0,76.78749999999997,0.00013378201238489762,15.0,True
10301,country_size_ratio,7.0,50.65624999999997,0.42094658788798095,20.0,True
10309,country_size_ratio,5.0,69.26249999999999,0.7740447154471546,7.0,True
10305,country_size_ratio,8.0,70.0,0.3529411764705882,15.0,True
10302,country_size_ratio,15.0,200.0,0.4339622641509434,20.0,True
10300,country_size_ratio,10.0,80.0,0.4134615384615385,15.0,True
10306,country_size_ratio,4.0,32.52499999999998,0.9099108910891088,6.0,True
10308,country_size_ratio,7.0,92.62499999999989,0.5866276545354069,15.0,True
10303,country_size_ratio,10.0,120.33749999999992,0.8460337370242215,15.0,True
10304,country_size_ratio,15.0,200.0,0.42452830188679247,20.0,True
10312,country_size_ratio,8.0,50.0,0.5794392523364487,8.0,True
10317,country_size_ratio,6.0,45.0,0.2735849056603773,10.0,True
10310,country_size_ratio,12.0,84.53124999999986,0.7675151192178972,9.0,False
10311,country_size_ratio,5.0,36.76249999999999,0.36441199376947037,9.0,True
10314,country_size_ratio,2.0,9.0,0.2429906542056075,3.0,True
10319,country_size_ratio,6.0,30.0,0.06603773584905659,6.0,True
10313,country_size_ratio,14.0,100.0,0.6132075471698113,10.0,False
10315,country_size_ratio,2.0,5.0,0.23831775700934577,2.0,True
10318,country_size_ratio,7.0,35.76249999999999,0.6038937282229966,7.0,True
10316,country_size_ratio,4.0,26.0,0.5904761904761905,5.0,True
