task_id,domain,L,U,length,final_median,inside
10328,distance_map,500.0,650.0,0.19166666666666665,500.0,True
10320,distance_map,350.0,500.0,0.3333333333333333,400.0,True
10329,distance_map,250.0,500.0,0.2833333333333333,320.0,True
10327,distance_map,400.0,600.0,0.07438016528925628,500.0,True
10326,distance_map,800.0,1300.0,0.652542372881356,850.0,True
10323,distance_map,1511.875,2888.8125,0.14849346206245173,3000.0,False
10324,distance_map,700.0,1000.0,0.008547008547008544,700.0,True
10322,distance_map,337.375,510.0,0.0,550.0,False
10325,distance_map,100.0,300.0,0.11570247933884298,185.0,True
10321,distance_map,600.0,900.0,0.0,790.0,True
10334,distance_map,605.9375,960.0,0.5696081197716107,1000.0,False
10338,distance_map,400.0,650.0,0.016949152542372836,500.0,True
10335,distance_map,435.0,652.0,0.34745762711864403,500.0,True
10337,distance_map,600.0,875.0,0.03448275862068961,600.0,True
10336,distance_map,435.0390625,700.0,0.5783111311431623,500.0,True
10331,distance_map,1000.0,1336.0,0.1864406779661017,1100.0,True
10333,distance_map,674.26171875,1300.0,0.47622801737755527,1250.0,True
10339,distance_map,540.0,800.0,0.41025641025641024,700.0,True
10330,distance_map,750.0,1653.5937499999995,0.9470786602078809,1292.0,True
10332,distance_map,200.0,400.0,0.05084745762711865,280.0,True
