task_id,domain,L,U,length,final_median,inside
10384,energy,554.75390625,1241.0937499999995,0.3494631533607213,600.0,True
10387,energy,500.0,1000.0,0.14150943396226412,600.0,True
10383,energy,150.0,200.0,0.036363636363636376,80.0,False
10381,energy,30.0,80.0,0.22429906542056072,50.0,True
10389,energy,175.0,250.0,0.5909090909090909,300.0,False
10386,energy,70.0,120.0,0.03738317757009346,50.0,False
10380,energy,500.0,1200.0,0.22641509433962265,900.0,True
10385,energy,250.0,500.0,0.0,250.0,True
10388,energy,450.0,919.6874999999991,0.5203986050811114,450.0,True
10382,energy,220.0,490.0,0.36697247706422015,200.0,False
10390,energy,450.0,1000.0,0.009174311926605505,467.5,True
10397,energy,500.0,1000.0,0.0,700.0,True
10391,energy,150.0,400.0,0.8363636363636363,180.0,True
10393,energy,135.0,200.0,0.2909090909090909,100.0,False
10398,energy,100.0,246.43749999999983,0.6146788990825688,125.0,True
10396,energy,125.59375,250.0,0.914296875,130.0,True
10395,energy,90.0,200.0,0.38181818181818183,100.0,True
10392,energy,125.0,200.0,0.0,120.0,False
10399,energy,600.0,1500.0,0.06422018348623854,600.0,True
10394,energy,40.0,100.0,0.36363636363636365,60.0,True
