task_id,domain,L,U,length,final_median,inside
10426,gdp,33000.0,45000.0,0.0,35000.0,True
10420,gdp,15000.0,30000.0,0.4054054054054054,30000.0,True
10424,gdp,4000.0,11000.0,0.3010956595027392,8000.0,True
10422,gdp,7000.0,18000.0,0.3652173913043478,10000.0,True
10425,gdp,35000.0,50000.0,0.15789473684210525,30500.0,False
10429,gdp,10000.0,30000.0,0.38053097345132736,10000.0,True
10427,gdp,14237.5,53515.62499999993,0.24466261061946898,19000.0,True
10423,gdp,30000.0,41000.0,0.0892857142857143,31000.0,True
10428,gdp,45000.0,56000.0,0.07894736842105263,50000.0,True
10421,gdp,5000.0,20000.0,0.19469026548672563,10000.0,True
10436,gdp,10000.0,30000.0,0.0,12500.0,True
10439,gdp,10000.0,25000.0,0.5964912280701754,10000.0,True
10433,gdp,35000.0,50000.0,0.6607142857142857,44250.0,True
10430,gdp,9000.0,30000.0,0.2589285714285714,21600.0,True
10438,gdp,39000.0,55000.0,0.32456140350877194,78000.0,False
10431,gdp,15500.0,35000.0,0.31970915348713524,14900.0,False
10435,gdp,7523.75,23500.0,0.587719298245614,15000.0,True
10437,gdp,10000.0,22000.0,0.5446428571428571,10000.0,True
10432,gdp,10000.0,25000.0,0.38596491228070173,15000.0,True
10434,gdp,15000.0,26000.0,0.3333333333333333,15000.0,True
