task_id,domain,L,U,length,final_median,inside
10442,historical_events,1787.925,1999.0,0.991869918699187,1939.0,True
10449,historical_events,1650.0,1950.0,1.0,1810.0,True
10448,historical_events,1752.0,1882.1,1.0,1776.0,True
10446,historical_events,1770.0,1940.0,1.0,1778.0,True
10444,historical_events,1953.0,1974.0,1.0,1963.0,True
10447,historical_events,1950.0,1985.0,0.8739495798319328,1968.0,True
10445,historical_events,1748.325,1927.8749999999995,0.9919354838709677,1861.0,True
10440,historical_events,1750.0,1960.0,1.0,1865.0,True
10443,historical_events,1920.0,1980.0,1.0,1971.0,True
10441,historical_events,1790.0,1889.525,0.5332873062015504,1840.0,True
10450,historical_events,1619.0,1840.0,1.0,1720.0,True
10452,historical_events,1860.0,1960.0,0.743801652892562,1920.0,True
10453,historical_events,1537.68125,1876.7875,0.9529040948275862,1610.0,True
10456,historical_events,1903.1375,1960.0,0.9917355371900827,1941.0,True
10454,historical_events,1734.0,1917.625,0.9902831900026875,1773.0,True
10455,historical_events,1494.0,1842.0,0.8181818181818182,1620.0,True
10458,historical_events,1572.0,1920.0,0.8770491803278688,1696.0,True
10457,historical_events,1777.0,1995.0,0.3688524590163934,1935.0,True
10451,historical_events,1868.05,1942.0,0.7440048339638503,1929.0,True
10459,historical_events,1750.0,1886.0,0.12295081967213117,1812.0,True
