task_id,domain,L,U,length,final_median,inside
10668,object_weight,1.0,1.0,0.0,1.0,True
10661,object_weight,20.0,30.0,0.09459459459459463,20.0,True
10663,object_weight,15.0,20.0,0.054545454545454564,20.0,True
10666,object_weight,3.051025390625,4.0,0.1787820518563647,4.0,True
10667,object_weight,2075.390625,2500.0,0.16020463016055048,3500.0,False
10669,object_weight,30.0,50.0,0.08108108108108109,40.0,True
10664,object_weight,1.0,1.0,0.0,1.0,True
10660,object_weight,420.0,562.0,0.04716981132075482,550.0,True
10662,object_weight,4.0,5.0,-0.19158878504672894,5.0,True
10665,object_weight,230.0,350.0,0.02777777777777768,300.0,True
10677,object_weight,80.0,100.0,0.18807339449541283,95.0,True
10672,object_weight,25.0,30.0,-0.5,30.0,True
10674,object_weight,15.0,15.0,0.0,15.0,True
10679,object_weight,15.0,18.0,0.45412844036697253,15.0,True
10673,object_weight,6.0,7.0,0.08181818181818179,5.0,False
10670,object_weight,2.0,2.0,0.0,2.0,True
10671,object_weight,5.0,5.0,0.0,4.0,False
10675,object_weight,2.0,3.0,0.09633027522935778,2.0,True
10678,object_weight,9.0,10.0,-0.050458715596330306,10.0,True
10676,object_weight,20.0,25.0,0.0,22.0,True
