task_id,domain,L,U,length,final_median,inside
10681,painting_year,1503.178125,1673.83271484375,0.7740601286883781,1503.0,False
10685,painting_year,1750.0,1905.0,0.36036036036036034,1629.0,False
10688,painting_year,1791.1625,1934.0,0.45945945945945943,1910.0,True
10686,painting_year,1800.0,1963.0,0.8378378378378378,1910.0,True
10682,painting_year,1765.0,1890.0,0.5315315315315315,1870.0,True
10683,painting_year,1800.0,1927.025,0.0927952952952954,1890.0,True
10687,painting_year,1800.0,1920.0,0.42342342342342343,1896.0,True
10680,painting_year,1491.975,1700.0,0.3805180180180181,1496.0,True
10689,painting_year,1800.0,1918.0,0.8715596330275229,1813.0,True
10684,painting_year,1899.0,1970.0,0.5045045045045046,1940.0,True
10698,painting_year,1491.1875,1700.0,0.5228103497706422,1500.0,True
10692,painting_year,1921.7375,1968.0,0.3243666443850267,1938.0,True
10697,painting_year,1579.0,1848.1,0.4720011904761904,1650.0,True
10696,painting_year,1600.0,1800.0,0.26785714285714285,1628.0,True
10690,painting_year,1850.95,1941.65625,0.9364505546536797,1901.0,True
10694,painting_year,1930.0,1970.0,0.18018018018018017,1950.0,True
10695,painting_year,1892.803125,1950.0,0.004531377968877981,1930.0,True
10699,painting_year,1575.734375,1936.90625,0.07185294811444046,1690.0,True
10691,painting_year,1873.6875,1939.0,0.3569144144144144,1910.0,True
10693,painting_year,1850.0,1922.025,0.2970194691335631,1859.0,True
