task_id,domain,L,U,length,final_median,inside
10804,retweets,1631.6796875,2500.0,0.11182460744530698,2000.0,True
10806,retweets,1500.0,4000.0,0.0,2500.0,True
10800,retweets,1078.84375,2500.0,0.5981307919943883,3000.0,False
10802,retweets,2000.0,3539.374999999998,0.03057427447122485,1700.0,False
10809,retweets,2000.0,4516.406249999999,0.5860978036556603,3000.0,True
10807,retweets,1500.0,3500.0,0.5688073394495413,3000.0,True
10805,retweets,1500.0,4000.0,0.14814814814814814,3000.0,True
10803,retweets,1961.875,4000.0,0.0004453855140186258,2000.0,True
10808,retweets,2000.0,5000.0,0.5566037735849056,4500.0,True
10817,retweets,1500.0,3000.0,0.027522935779816515,3000.0,True
10811,retweets,1500.0,3000.0,0.05555555555555558,2800.0,True
10813,retweets,2000.0,5000.0,0.5504587155963303,3145.0,True
10818,retweets,2500.0,6000.0,0.6635514018691588,4500.0,True
10815,retweets,1977.96875,5000.0,0.5573899799311927,2400.0,True
10814,retweets,2000.0,5000.0,0.0,3800.0,True
10812,retweets,1032.5375000000001,2500.0,0.03669524428914478,2800.0,False
10810,retweets,2000.0,5000.0,0.5779816513761468,3200.0,True
10819,retweets,2000.0,3639.374999999998,0.9236232848547807,3000.0,True
10816,retweets,1847.5000000000002,4598.437499999995,0.571416159978101,4100.0,True
10801,retweets,600.0,2000.0,0.47706422018348627,1500.0,True
