| Domain                  | Task   |   $\lambda$ WASSERSTEIN |
|-------------------------|--------|-------------------------|
| calories                |        |                    0.36 |
|                         | 1910   |                    0.25 |
|                         | 1902   |                    0.28 |
|                         | 1901   |                    0.43 |
|                         | 1904   |                    0.34 |
|                         | 1909   |                    0.32 |
|                         | 1908   |                    0.41 |
|                         | 1906   |                    0.25 |
|                         | 1903   |                    0    |
|                         | 1905   |                    0.4  |
|                         | 1907   |                    0.44 |
|                         | 1914   |                    0.55 |
|                         | 1911   |                    0.56 |
|                         | 1916   |                    0.28 |
|                         | 1917   |                    0.37 |
|                         | 1918   |                    0.44 |
|                         | 1912   |                    0.43 |
|                         | 1915   |                    0.4  |
|                         | 1913   |                    0.27 |
|                         | 1920   |                    0.62 |
|                         | 1919   |                    0.22 |
| amazon_price            |        |                    0.34 |
|                         | 10003  |                    0    |
|                         | 10005  |                    0.38 |
|                         | 10009  |                    0.36 |
|                         | 10002  |                    0.19 |
|                         | 10006  |                    0.35 |
|                         | 10007  |                    0.25 |
|                         | 10004  |                    0.45 |
|                         | 10008  |                    0    |
|                         | 10000  |                    0.21 |
|                         | 10001  |                    0.24 |
|                         | 10014  |                    0.41 |
|                         | 10015  |                    0.41 |
|                         | 10019  |                    0.4  |
|                         | 10017  |                    0.5  |
|                         | 10010  |                    0.27 |
|                         | 10012  |                    0    |
|                         | 10011  |                    0.52 |
|                         | 10018  |                    0    |
|                         | 10016  |                    0    |
|                         | 10013  |                    0.43 |
| book_release_year       |        |                    0.39 |
|                         | 10065  |                    0.15 |
|                         | 10067  |                    0.41 |
|                         | 10064  |                    0.18 |
|                         | 10060  |                    0.26 |
|                         | 10061  |                    0.65 |
|                         | 10062  |                    0.46 |
|                         | 10063  |                    0.5  |
|                         | 10066  |                    0.17 |
|                         | 10069  |                    0.73 |
|                         | 10068  |                    0.5  |
|                         | 10073  |                    0.57 |
|                         | 10071  |                    0.85 |
|                         | 10074  |                    0.7  |
|                         | 10077  |                    0.53 |
|                         | 10070  |                    0.33 |
|                         | 10076  |                    0.47 |
|                         | 10078  |                    0.38 |
|                         | 10072  |                    0.62 |
|                         | 10075  |                    0.78 |
|                         | 10079  |                    0    |
| car_manufacture_year    |        |                    0.08 |
|                         | 10128  |                    0.62 |
|                         | 10120  |                    0.5  |
|                         | 10121  |                    0.01 |
|                         | 10126  |                    0.35 |
|                         | 10122  |                    0.55 |
|                         | 10124  |                    0.37 |
|                         | 10123  |                    0.01 |
|                         | 10129  |                    0.6  |
|                         | 10125  |                    0.45 |
|                         | 10127  |                    0.33 |
|                         | 10132  |                    0.08 |
|                         | 10133  |                    0.58 |
|                         | 10138  |                    0.5  |
|                         | 10139  |                    0.54 |
|                         | 10135  |                    0.34 |
|                         | 10131  |                    0.38 |
|                         | 10130  |                    0    |
|                         | 10134  |                    0.5  |
|                         | 10136  |                    0.33 |
|                         | 10137  |                    0.5  |
| celeb_age               |        |                    0.25 |
|                         | 10142  |                    0.55 |
|                         | 10147  |                    0.25 |
|                         | 10149  |                    0.34 |
|                         | 10148  |                    0.25 |
|                         | 10143  |                    0    |
|                         | 10144  |                    0.13 |
|                         | 10146  |                    0.25 |
|                         | 10145  |                    0.25 |
|                         | 10141  |                    0.5  |
|                         | 10140  |                    0.23 |
|                         | 10156  |                    0.5  |
|                         | 10153  |                    0.25 |
|                         | 10154  |                    0    |
|                         | 10151  |                    0.15 |
|                         | 10159  |                    0.25 |
|                         | 10150  |                    0.4  |
|                         | 10158  |                    0.46 |
|                         | 10157  |                    0.28 |
|                         | 10155  |                    0.33 |
|                         | 10152  |                    0.34 |
| construction_years      |        |                    0.43 |
|                         | 10200  |                    0.65 |
|                         | 10206  |                    0.24 |
|                         | 10209  |                    0.67 |
|                         | 10201  |                    0.7  |
|                         | 10202  |                    0.59 |
|                         | 10207  |                    0.73 |
|                         | 10208  |                    0.1  |
|                         | 10204  |                    0.67 |
|                         | 10205  |                    0.82 |
|                         | 10203  |                    0.1  |
|                         | 10215  |                    0.11 |
|                         | 10213  |                    0.5  |
|                         | 10214  |                    0.48 |
|                         | 10217  |                    0.55 |
|                         | 10219  |                    0.67 |
|                         | 10216  |                    0.4  |
|                         | 10210  |                    0.47 |
|                         | 10218  |                    0.61 |
|                         | 10211  |                    0    |
|                         | 10212  |                    0.5  |
| country_size_ratio      |        |                    0    |
|                         | 10307  |                    0.88 |
|                         | 10301  |                    0    |
|                         | 10309  |                    0.93 |
|                         | 10305  |                    0.99 |
|                         | 10302  |                    0.96 |
|                         | 10300  |                    0.98 |
|                         | 10306  |                    0.87 |
|                         | 10308  |                    0.95 |
|                         | 10303  |                    0.99 |
|                         | 10304  |                    0.95 |
|                         | 10312  |                    0.9  |
|                         | 10317  |                    0.93 |
|                         | 10310  |                    0.94 |
|                         | 10311  |                    0.34 |
|                         | 10314  |                    0.82 |
|                         | 10319  |                    0.92 |
|                         | 10313  |                    0.99 |
|                         | 10315  |                    0.74 |
|                         | 10318  |                    0.89 |
|                         | 10316  |                    0.93 |
| distance_map            |        |                    0.55 |
|                         | 10328  |                    0.54 |
|                         | 10320  |                    0.5  |
|                         | 10329  |                    0.62 |
|                         | 10327  |                    0.53 |
|                         | 10326  |                    0.67 |
|                         | 10323  |                    0.55 |
|                         | 10324  |                    0.57 |
|                         | 10322  |                    0.48 |
|                         | 10325  |                    0.2  |
|                         | 10321  |                    0.39 |
|                         | 10334  |                    0.36 |
|                         | 10338  |                    0.5  |
|                         | 10335  |                    0.6  |
|                         | 10337  |                    0.71 |
|                         | 10336  |                    0.6  |
|                         | 10331  |                    0.61 |
|                         | 10333  |                    0.59 |
|                         | 10339  |                    0.63 |
|                         | 10330  |                    0.58 |
|                         | 10332  |                    0.45 |
| country_population      |        |                    0    |
|                         | 10268  |                    0    |
|                         | 10265  |                    0    |
|                         | 10262  |                    0.68 |
|                         | 10269  |                    0    |
|                         | 10267  |                    0.28 |
|                         | 10261  |                    0    |
|                         | 10266  |                    0    |
|                         | 10260  |                    0    |
|                         | 10264  |                    0.93 |
|                         | 10263  |                    0    |
|                         | 10274  |                    0.32 |
|                         | 10276  |                    0.12 |
|                         | 10278  |                    0    |
|                         | 10279  |                    0    |
|                         | 10272  |                    0.38 |
|                         | 10270  |                    0    |
|                         | 10273  |                    0.53 |
|                         | 10271  |                    0    |
|                         | 10275  |                    0.1  |
|                         | 10277  |                    0    |
| energy                  |        |                    0.68 |
|                         | 10384  |                    0.67 |
|                         | 10387  |                    0.78 |
|                         | 10383  |                    0.52 |
|                         | 10381  |                    0.7  |
|                         | 10389  |                    0.48 |
|                         | 10386  |                    0.51 |
|                         | 10380  |                    0.82 |
|                         | 10385  |                    0.7  |
|                         | 10388  |                    0.41 |
|                         | 10382  |                    0.61 |
|                         | 10390  |                    0.72 |
|                         | 10397  |                    0.85 |
|                         | 10391  |                    0.83 |
|                         | 10393  |                    0.58 |
|                         | 10398  |                    0.8  |
|                         | 10396  |                    0.78 |
|                         | 10395  |                    0.71 |
|                         | 10392  |                    0.33 |
|                         | 10399  |                    0.77 |
|                         | 10394  |                    0.33 |
| historical_events       |        |                    0    |
|                         | 10442  |                    0.69 |
|                         | 10449  |                    0.18 |
|                         | 10448  |                    0    |
|                         | 10446  |                    0.8  |
|                         | 10444  |                    0    |
|                         | 10447  |                    0.5  |
|                         | 10445  |                    0.25 |
|                         | 10440  |                    0    |
|                         | 10443  |                    0.33 |
|                         | 10441  |                    0.22 |
|                         | 10450  |                    0.16 |
|                         | 10452  |                    0.42 |
|                         | 10453  |                    0.69 |
|                         | 10456  |                    0    |
|                         | 10454  |                    0.8  |
|                         | 10455  |                    0.34 |
|                         | 10458  |                    0.36 |
|                         | 10457  |                    0.29 |
|                         | 10451  |                    0.53 |
|                         | 10459  |                    0.06 |
| gdp                     |        |                    0.31 |
|                         | 10426  |                    0    |
|                         | 10420  |                    0.32 |
|                         | 10424  |                    0.15 |
|                         | 10422  |                    0.5  |
|                         | 10425  |                    0.27 |
|                         | 10429  |                    0.4  |
|                         | 10427  |                    0.42 |
|                         | 10423  |                    0.32 |
|                         | 10428  |                    0    |
|                         | 10421  |                    0.37 |
|                         | 10436  |                    0.31 |
|                         | 10439  |                    0.55 |
|                         | 10433  |                    0    |
|                         | 10430  |                    0.51 |
|                         | 10438  |                    0.42 |
|                         | 10431  |                    0.34 |
|                         | 10435  |                    0.18 |
|                         | 10437  |                    0.45 |
|                         | 10432  |                    0.06 |
|                         | 10434  |                    0.48 |
| object_weight           |        |                    0.62 |
|                         | 10668  |                    0    |
|                         | 10661  |                    0.38 |
|                         | 10663  |                    0.34 |
|                         | 10666  |                    0    |
|                         | 10667  |                    0.63 |
|                         | 10669  |                    0.71 |
|                         | 10664  |                    0    |
|                         | 10660  |                    0.67 |
|                         | 10662  |                    0.25 |
|                         | 10665  |                    0.5  |
|                         | 10677  |                    0.45 |
|                         | 10672  |                    0.29 |
|                         | 10674  |                    0.44 |
|                         | 10679  |                    0.34 |
|                         | 10673  |                    0    |
|                         | 10670  |                    0    |
|                         | 10671  |                    0    |
|                         | 10675  |                    0    |
|                         | 10678  |                    0.28 |
|                         | 10676  |                    0.5  |
| painting_year           |        |                    0.34 |
|                         | 10681  |                    0.74 |
|                         | 10685  |                    0.47 |
|                         | 10688  |                    0.01 |
|                         | 10686  |                    0.64 |
|                         | 10682  |                    0.59 |
|                         | 10683  |                    0.75 |
|                         | 10687  |                    0    |
|                         | 10680  |                    0.28 |
|                         | 10689  |                    0.46 |
|                         | 10684  |                    0.75 |
|                         | 10698  |                    0.69 |
|                         | 10692  |                    0.57 |
|                         | 10697  |                    0.6  |
|                         | 10696  |                    0.38 |
|                         | 10690  |                    0.56 |
|                         | 10694  |                    0.4  |
|                         | 10695  |                    0.66 |
|                         | 10699  |                    0.42 |
|                         | 10691  |                    0.55 |
|                         | 10693  |                    0.46 |
| prediction_oscars       |        |                    0.12 |
|                         | 10763  |                    0.11 |
|                         | 10761  |                    0.11 |
|                         | 10760  |                    0    |
|                         | 10769  |                    0.16 |
|                         | 10768  |                    0.15 |
|                         | 10762  |                    0    |
|                         | 10765  |                    0.21 |
|                         | 10764  |                    0.11 |
|                         | 10767  |                    0.14 |
|                         | 10766  |                    0.2  |
|                         | 10770  |                    0.2  |
|                         | 10771  |                    0    |
|                         | 10776  |                    0.21 |
|                         | 10777  |                    0.2  |
|                         | 10775  |                    0.17 |
|                         | 10778  |                    0    |
|                         | 10774  |                    0.1  |
|                         | 10772  |                    0.16 |
|                         | 10779  |                    0.12 |
|                         | 10773  |                    0.02 |
| retweets                |        |                    0    |
|                         | 10804  |                    0.85 |
|                         | 10806  |                    0    |
|                         | 10800  |                    0.01 |
|                         | 10802  |                    0.73 |
|                         | 10809  |                    0    |
|                         | 10807  |                    0.01 |
|                         | 10805  |                    0    |
|                         | 10803  |                    0    |
|                         | 10808  |                    0    |
|                         | 10817  |                    0    |
|                         | 10811  |                    0.07 |
|                         | 10813  |                    0    |
|                         | 10818  |                    0    |
|                         | 10815  |                    0    |
|                         | 10814  |                    0.97 |
|                         | 10812  |                    0.01 |
|                         | 10810  |                    0    |
|                         | 10819  |                    0    |
|                         | 10816  |                    0.01 |
|                         | 10801  |                    0.81 |
| prediction_business     |        |                    0.25 |
|                         | 10721  |                    0.09 |
|                         | 10723  |                    0.15 |
|                         | 10726  |                    0.2  |
|                         | 10729  |                    0.3  |
|                         | 10722  |                    0.25 |
|                         | 10725  |                    0.43 |
|                         | 10727  |                    0.23 |
|                         | 10728  |                    0.09 |
|                         | 10720  |                    0.2  |
|                         | 10724  |                    0.19 |
|                         | 10731  |                    0.4  |
|                         | 10739  |                    0.2  |
|                         | 10730  |                    0.26 |
|                         | 10735  |                    0.14 |
|                         | 10732  |                    0.32 |
|                         | 10734  |                    0.19 |
|                         | 10736  |                    0.25 |
|                         | 10738  |                    0.2  |
|                         | 10737  |                    0.37 |
|                         | 10733  |                    0.39 |
| movie_year              |        |                    0    |
|                         | 10600  |                    0    |
|                         | 10605  |                    0    |
|                         | 10609  |                    0    |
|                         | 10608  |                    0    |
|                         | 10603  |                    0    |
|                         | 10601  |                    0    |
|                         | 10602  |                    0    |
|                         | 10606  |                    0    |
|                         | 10607  |                    0    |
|                         | 10604  |                    0    |
|                         | 10611  |                    0    |
|                         | 10612  |                    0    |
|                         | 10619  |                    0    |
|                         | 10617  |                    0    |
|                         | 10618  |                    0    |
